Date,Open,High,Low,Close,Volume
2021-09-30,8.42,8.63,8.3,8.605,539744.0
2021-10-01,8.6,8.875,8.4,8.475,430261.0
2021-10-04,8.59,9.14,8.59,9.005,577863.0
2021-10-05,8.83,8.9,8.47,8.64,436522.0
2021-10-06,8.875,8.93,8.455,8.455,421602.0
2021-10-07,8.24,8.27,8.05,8.265,389744.0
2021-10-08,8.15,8.395,8.15,8.375,402198.0
2021-10-11,8.47,8.54,8.22,8.54,248084.0
2021-10-12,8.46,8.68,8.42,8.625,340835.0
2021-10-13,8.495,8.61,8.4,8.445,459266.0
2021-10-14,8.175,8.22,7.955,7.97,755768.0
2021-10-15,7.885,7.94,7.815,7.815,305896.0
2021-10-18,7.91,7.93,7.57,7.575,582409.0
2021-10-19,7.51,7.54,7.405,7.42,613201.0
2021-10-20,7.38,7.525,7.35,7.445,491387.0
2021-10-21,7.485,7.5,7.29,7.295,387794.0
2021-10-22,7.37,7.58,7.33,7.49,635449.0
2021-10-25,7.39,7.5,7.2,7.27,522573.0
2021-10-26,7.08,7.24,6.98,7.2,683428.0
2021-10-27,7.14,7.165,6.96,7.135,532291.0
2021-10-28,7.03,7.065,6.89,6.89,543349.0
2021-10-29,7.07,7.07,6.79,6.79,328392.0
2021-11-01,6.79,6.885,6.72,6.72,284033.0
2021-11-02,6.76,6.76,6.62,6.645,407413.0
2021-11-03,6.61,6.665,6.405,6.42,672331.0
2021-11-04,6.37,6.39,6.14,6.19,784157.0
2021-11-05,6.1,6.22,6.055,6.16,426809.0
2021-11-08,6.165,6.215,6.12,6.19,442148.0
2021-11-09,6.13,6.375,6.13,6.32,726300.0
2021-11-10,6.455,6.685,6.315,6.59,894312.0
2021-11-11,6.435,6.55,6.42,6.535,316021.0
2021-11-12,6.51,6.555,6.31,6.33,274123.0
2021-11-15,6.28,6.455,6.26,6.34,849286.0
2021-11-16,6.365,6.37,6.175,6.195,395173.0
2021-11-17,6.19,6.23,6.1,6.19,254145.0
2021-11-18,6.09,6.19,5.975,6.0,606025.0
2021-11-19,5.925,5.955,5.84,5.89,1277640.0
2021-11-22,5.83,6.1,5.695,6.095,747660.0
2021-11-23,6.16,6.395,6.07,6.18,1226231.0
2021-11-24,6.305,6.41,6.115,6.125,443428.0
2021-11-26,6.25,6.53,6.19,6.46,748136.0
2021-11-29,6.24,6.27,6.0,6.035,410915.0
2021-11-30,6.105,6.4,5.98,6.32,719139.0
2021-12-01,6.08,6.635,5.99,6.635,923892.0
2021-12-02,6.71,6.77,6.4,6.48,1388669.0
2021-12-03,6.4,7.035,6.375,6.82,1307516.0
2021-12-06,6.805,7.02,6.6,6.66,613461.0
2021-12-07,6.31,6.31,6.035,6.06,1506791.0
2021-12-08,6.05,6.125,5.97,5.97,604755.0
2021-12-09,6.035,6.25,5.96,6.25,1083364.0
2021-12-10,6.095,6.26,6.03,6.03,1317858.0
2021-12-13,6.04,6.3,6.04,6.3,945358.0
2021-12-14,6.53,6.7,6.41,6.51,894964.0
2021-12-15,6.515,6.71,6.03,6.06,1522196.0
2021-12-16,6.0,6.58,5.99,6.515,1359376.0
2021-12-17,6.705,6.765,6.4,6.59,690127.0
2021-12-20,6.87,6.965,6.765,6.81,690859.0
2021-12-21,6.61,6.82,6.33,6.33,1089095.0
2021-12-22,6.37,6.4,6.11,6.11,623144.0
2021-12-23,6.09,6.09,5.91,5.96,239306.0
2021-12-27,5.905,5.905,5.685,5.685,776623.0
2021-12-28,5.67,5.795,5.665,5.765,289246.0
2021-12-29,5.72,5.865,5.705,5.75,828227.0
2021-12-30,5.755,5.83,5.68,5.82,145566.0
2021-12-31,5.805,5.94,5.795,5.94,372595.0
2022-01-03,5.865,5.96,5.74,5.745,262427.0
2022-01-04,5.73,6.1,5.73,5.96,554404.0
2022-01-05,6.035,6.53,6.005,6.53,1425963.0
2022-01-06,6.625,6.73,6.37,6.525,1224641.0
2022-01-07,6.54,6.81,6.45,6.73,1097709.0
2022-01-10,7.01,7.3,6.71,6.71,1148991.0
2022-01-11,6.77,6.87,6.425,6.44,1039953.0
2022-01-12,6.3,6.465,6.22,6.36,1111221.0
2022-01-13,31.405,34.32,31.3,34.31,402008.0
2022-01-14,34.84,34.885,33.4,33.44,328015.0
2022-01-18,35.05,36.11,34.5,36.0,181204.0
2022-01-19,35.54,37.22,34.805,37.18,275150.0
2022-01-20,36.17,38.77,34.93,38.53,354572.0
2022-01-21,39.4,41.84,38.45,41.81,351357.0
2022-01-24,43.98,48.07,41.01,41.12,252044.0
2022-01-25,43.61,45.29,42.17,44.3,102714.0
2022-01-26,41.08,45.53,39.67,43.93,223230.0
2022-01-27,42.73,46.03,41.835,45.55,111800.0
2022-01-28,44.81,46.69,41.285,41.3,98609.0
2022-01-31,40.87,40.87,37.165,37.195,216624.0
2022-02-01,36.94,38.515,36.44,36.45,212641.0
2022-02-02,35.34,36.94,35.295,35.67,327747.0
2022-02-03,38.65,40.33,37.6,39.86,352413.0
2022-02-04,39.48,40.495,37.35,38.4,266568.0
